title,url,price
ZARA ФУТБОЛКА С ЭФФЕКТОМ ПОТЕРТОСТИ И ЗАКЛЕПКАМИ,https://zara-russia.ru/zhenshchiny_futbolki_zara/tproduct/136636746322-zara-futbolka-s-effektom-potertosti-i-za,3 600
ZARA ТОП ХАЛТЕР В РУБЧИК С ЭФФЕКТОМ ПОТЕРТОСТИ,https://zara-russia.ru/zhenshchiny_futbolki_zara/tproduct/449623085662-zara-top-halter-v-rubchik-s-effektom-pot,2 200
ZARA ФУТБОЛКА HIGH SCHOOL MUSICAL ©DISNEY,https://zara-russia.ru/zhenshchiny_futbolki_zara/tproduct/988770640592-zara-futbolka-high-school-musical-disney,4 100
ZARA ТРИКОТАЖНОЕ ПОЛО В ПОЛОСКУ,https://zara-russia.ru/zhenshchiny_cardigans_sweaters_zara/tproduct/327902360452-zara-trikotazhnoe-polo-v-polosku,5 400
ZARA КАРДИГАН В ТОЧКУ С ПАЙЕТКАМИ,https://zara-russia.ru/zhenshchiny_cardigans_sweaters_zara/tproduct/912340021922-zara-kardigan-v-tochku-s-paietkami,6 800
ZARA КРОП-ТОП В РУБЧИК НА БРЕТЕЛЯХ,https://zara-russia.ru/zhenshchiny_topy_body_zara/tproduct/132014660972-zara-krop-top-v-rubchik-na-bretelyah,2 200
ZARA УКОРОЧЕННЫЕ ДЖИНСЫ TRF СО СРЕДНЕЙ ПОСАДКОЙ,https://zara-russia.ru/zhenshchiny_dzhinsy_zara/tproduct/518972667772-zara-ukorochennie-dzhinsi-trf-so-srednei,5 400
ZARA ОДНОТОННОЕ ПОЛО,https://zara-russia.ru/zhenshchiny_cardigans_sweaters_zara/tproduct/753273919652-zara-odnotonnoe-polo,4 900
ZARA ТОП-БАНДО АСИММЕТРИЧНОГО КРОЯ,https://zara-russia.ru/tproduct/313215569742-zara-top-bando-asimmetrichnogo-kroya,4 900
ZARA КОРОТКОЕ ПЛАТЬЕ СО СБОРКАМИ И КРУЖЕВОМ,https://zara-russia.ru/zhenshchiny_platya_zara/tproduct/736658837092-zara-korotkoe-plate-so-sborkami-i-kruzhe,5 400
ZARA ДЖИНСЫ TRF WIDE-LEG С НИЗКОЙ ПОСАДКОЙ,https://zara-russia.ru/zhenshchiny_dzhinsy_zara/tproduct/546857208912-zara-dzhinsi-trf-wide-leg-s-nizkoi-posad,6 800
ZARA УКОРОЧЕННАЯ ФУТБОЛКА С КОРОТКИМИ РУКАВАМИ,https://zara-russia.ru/zhenshchiny_futbolki_zara/tproduct/574482461672-zara-ukorochennaya-futbolka-s-korotkimi,1 300
ZARA КОРОТКИЙ ТРЕНЧ С ОБЪЕМНЫМ ПОДОЛОМ,https://zara-russia.ru/zhenshchiny-kurtki_zara/tproduct/167847798142-zara-korotkii-trench-s-obemnim-podolom,10 800
ZARA СТРУЯЩИЕСЯ БРЮКИ СО СКЛАДКАМИ,https://zara-russia.ru/zhenshchiny_bryuki_zara/tproduct/501187340962-zara-struyaschiesya-bryuki-so-skladkami,5 400
ZARA ПЛАТЬЕ МИДИ ИЗ САРЖИ С ХЛЯСТИКАМИ,https://zara-russia.ru/zhenshchiny_platya_zara/tproduct/495507830622-zara-plate-midi-iz-sarzhi-s-hlyastikami,8 700
ZARA РУБАШКА OVERSIZE В ПОЛОСКУ С РУКАВАМИ «ЛЕТУЧАЯ МЫШЬ»,https://zara-russia.ru/zhenshchiny_rubashki_bluzki_zara/tproduct/794867678242-zara-rubashka-oversize-v-polosku-s-rukav,5 400
