title,url,price
ZARA ДЖИНСЫ WIDE LEG С ВЫСОКОЙ ПОСАДКОЙ — ZW COLLECTION,https://zara-russia.ru/zhenshchiny_dzhinsy_zara/tproduct/396161169772-zara-dzhinsi-wide-leg-s-visokoi-posadkoi,6 800
ZARA КУРТКА-БАЛЛОН НА МОЛНИИ,https://zara-russia.ru/zhenshchiny-kurtki_zara/tproduct/694628673492-zara-kurtka-ballon-na-molnii,6 800
ZARA УКОРОЧЕННЫЙ ТОП С ОБЪЕМНЫМИ РУКАВАМИ,https://zara-russia.ru/zhenshchiny_topy_body_zara/tproduct/131942333982-zara-ukorochennii-top-s-obemnimi-rukavam,5 400
ZARA ПЛАТЬЕ МИДИ С ПЛИССИРОВКОЙ И КОНТРАСТНЫМИ ДЕТАЛЯМИ,https://zara-russia.ru/zhenshchiny_platya_zara/tproduct/197911932692-zara-plate-midi-s-plissirovkoi-i-kontras,10 300
ZARA ТОП ИЗ ПОПЛИНА С ВОЛАНОМ,https://zara-russia.ru/zara_404/tproduct/212098693682-zara-top-iz-poplina-s-volanom,4 900
ZARA БРАЛЕТТ ИЗ СМЕСОВОГО ШЕЛКА С КРУЖЕВОМ,https://zara-russia.ru/zhenskie_nizhnee_belie_zara/tproduct/703123034732-zara-bralett-iz-smesovogo-shelka-s-kruzh,6 800
ZARA ШОРТЫ ИЗ СМЕСОВОГО ШЕЛКА С КРУЖЕВОМ,https://zara-russia.ru/zhenskie_nizhnee_belie_zara/tproduct/978981297472-zara-shorti-iz-smesovogo-shelka-s-kruzhe,10 800
ZARA ВЯЗАНОЕ ПЛАТЬЕ С ОТКРЫТЫМИ ПЛЕЧАМИ,https://zara-russia.ru/zhenskie_nizhnee_belie_zara/tproduct/903516840732-zara-vyazanoe-plate-s-otkritimi-plechami,10 800
ZARA СТРУЯЩИЕСЯ БРЮКИ СО СКЛАДКАМИ,https://zara-russia.ru/zhenshchiny_bryuki_zara/tproduct/881688142582-zara-struyaschiesya-bryuki-so-skladkami,5 400
ZARA КОЖАНЫЕ БАЛЕТКИ-МЮЛИ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/567004315562-zara-kozhanie-baletki-myuli,7 600
ZARA БОСОНОЖКИ С УЗЛОМ И МЕТАЛЛИЧЕСКИМ БЛЕСКОМ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/287024628372-zara-bosonozhki-s-uzlom-i-metallicheskim,7 600
ZARA СЕРЬГИ-ЦЕПОЧКИ СО СТРАЗАМИ,https://zara-russia.ru/zhenshchiny-aksessuari_zara/tproduct/129774518502-zara-sergi-tsepochki-so-strazami,2 700
ZARA ТОП ИЗ ПОЛИАМИДА С ДРАПИРОВКОЙ,https://zara-russia.ru/zhenshchiny_topy_body_zara/tproduct/813004543922-zara-top-iz-poliamida-s-drapirovkoi,4 400
ZARA ТОП С РУКАВАМИ «ЛЕТУЧАЯ МЫШЬ» И ВОЛАНАМИ,https://zara-russia.ru/zhenshchiny_topy_body_zara/tproduct/192698864172-zara-top-s-rukavami-letuchaya-mish-i-vol,4 100
ZARA АСИММЕТРИЧНЫЙ ТОП СО СБОРКАМИ,https://zara-russia.ru/zhenshchiny_topy_body_zara/tproduct/721556825212-zara-asimmetrichnii-top-so-sborkami,3 600
ZARA ТОП ИЗ КОМБИНИРОВАННОГО ТЮЛЯ НА БРЕТЕЛЯХ,https://zara-russia.ru/zhenshchiny_topy_body_zara/tproduct/170689660802-zara-top-iz-kombinirovannogo-tyulya-na-b,3 600
ZARA ТОП ИЗ ПОЛУПРОЗРАЧНОЙ ТКАНИ С ШАРФОМ,https://zara-russia.ru/zhenshchiny_topy_body_zara/tproduct/608647960112-zara-top-iz-poluprozrachnoi-tkani-s-shar,3 600
ZARA ДЛИННОЕ ПЛАТЬЕ ИЗ ПОЛУПРОЗРАЧНОЙ ТКАНИ,https://zara-russia.ru/zhenshchiny_platya_zara/tproduct/765364595012-zara-dlinnoe-plate-iz-poluprozrachnoi-tk,6 800
ZARA КОЖАНЫЕ БАЛЕТКИ-МЮЛИ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/751450158042-zara-kozhanie-baletki-myuli,7 900
ZARA КОЖАНЫЕ ТУФЛИ-ДЕРБИ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/795175981202-zara-kozhanie-tufli-derbi,10 800
ZARA ТОП ИЗ ПОЛУПРОЗРАЧНОЙ ТКАНИ В БЕЛЬЕВОМ СТИЛЕ,https://zara-russia.ru/zhenshchiny_topy_body_zara/tproduct/705769634592-zara-top-iz-poluprozrachnoi-tkani-v-bele,4 100
ZARA НОСКИ В МЕЛКИЙ РУБЧИК С ВЫШИВКОЙ GILDA,https://zara-russia.ru/zhenshchiny-aksessuari_zara/tproduct/484087495562-zara-noski-v-melkii-rubchik-s-vishivkoi,1 900
ZARA ХЛОПКОВЫЕ НОСКИ В МЕЛКИЙ РУБЧИК,https://zara-russia.ru/zhenshchiny-aksessuari_zara/tproduct/724591173252-zara-hlopkovie-noski-v-melkii-rubchik,1 700
ZARA ЖАККАРДОВЫЕ НОСКИ В ПОЛОСКУ,https://zara-russia.ru/zhenshchiny-aksessuari_zara/tproduct/480092144742-zara-zhakkardovie-noski-v-polosku,1 700
ZARA МАКСИ-СУМКА ИЗ 100% ХЛОПКА С ЦВЕТОЧНЫМ ПРИНТОМ,https://zara-russia.ru/zhenshchiny-aksessuari_zara/tproduct/670985972852-zara-maksi-sumka-iz-100-hlopka-s-tsvetoc,4 900
ZARA КЕПКА ИЗ САРЖИ С ВЫШИВКОЙ ТАКСЫ НА СКЕЙТЕ,https://zara-russia.ru/zhenshchiny-aksessuari_zara/tproduct/460505195832-zara-kepka-iz-sarzhi-s-vishivkoi-taksi-n,3 600
ZARA ПЛАТОК С ЦВЕТОЧНОЙ ВЫШИВКОЙ,https://zara-russia.ru/zhenshchiny-aksessuari_zara/tproduct/518388148602-zara-platok-s-tsvetochnoi-vishivkoi,2 700
ZARA ДЖИНСЫ TRF BOOTCUT С НИЗКОЙ ПОСАДКОЙ,https://zara-russia.ru/zhenshchiny_dzhinsy_zara/tproduct/251131572222-zara-dzhinsi-trf-bootcut-s-nizkoi-posadk,6 800
ZARA ДЖИНСЫ TRF BALLON СО СРЕДНЕЙ ПОСАДКОЙ И ПЕТЛЕЙ,https://zara-russia.ru/zhenshchiny_dzhinsy_zara/tproduct/925600367432-zara-dzhinsi-trf-ballon-so-srednei-posad,6 800
ZARA ЖЕСТКАЯ МЕТАЛЛИЧЕСКАЯ СУМКА,https://zara-russia.ru/zhenskie_sumki_zara/tproduct/182689837962-zara-zhestkaya-metallicheskaya-sumka,8 700
ZARA МИНИ-СУМКА-КОРЗИНКА С МЕТАЛЛИЧЕСКОЙ РУЧКОЙ,https://zara-russia.ru/zhenskie_sumki_zara/tproduct/304112569992-zara-mini-sumka-korzinka-s-metallichesko,7 900
ZARA СУМКА-МЕШОК С БУСИНАМИ,https://zara-russia.ru/zhenskie_sumki_zara/tproduct/416890523772-zara-sumka-meshok-s-businami,7 900
ZARA ПЛАТЬЕ ИЗ КРЕПА С V-ОБРАЗНЫМ ВЫРЕЗОМ,https://zara-russia.ru/zhenshchiny_platya_zara/tproduct/475689833612-zara-plate-iz-krepa-s-v-obraznim-virezom,5 400
ZARA ПРЯМЫЕ БРЮКИ С ПУГОВИЦАМИ,https://zara-russia.ru/zhenshchiny_bryuki_zara/tproduct/179047343302-zara-pryamie-bryuki-s-pugovitsami,6 800
ZARA РАСКЛЕШЕННЫЕ БРЮКИ НА МОЛНИИ,https://zara-russia.ru/zhenshchiny_bryuki_zara/tproduct/587534003032-zara-raskleshennie-bryuki-na-molnii,6 300
ZARA НАБОР ИЗ 3 ПАР СЕРЕГ-КОЛЕЦ СО СТРАЗАМИ,https://zara-russia.ru/zhenshchiny-aksessuari_zara/tproduct/961900531092-zara-nabor-iz-3-par-sereg-kolets-so-stra,2 700
ZARA БРЮКИ WIDE LEG ИЗ ТКАНИ В ДЕРЕВЕНСКОМ СТИЛЕ,https://zara-russia.ru/zhenshchiny_kostyumi_zara/tproduct/853127555602-zara-bryuki-wide-leg-iz-tkani-v-derevens,4 400
ZARA ТОП В СТИЛЕ РУСТИК С КОРОТКИМИ РУКАВАМИ,https://zara-russia.ru/zhenshchiny_kostyumi_zara/tproduct/340096295522-zara-top-v-stile-rustik-s-korotkimi-ruka,4 100
ZARA СВИТЕР С ОБЪЕМНЫМИ РУКАВАМИ,https://zara-russia.ru/zhenshchiny_cardigans_sweaters_zara/tproduct/853493232762-zara-sviter-s-obemnimi-rukavami,5 400
ZARA ДЖЕМПЕР В ПОЛОСКУ С КОРОТКИМ РУКАВОМ,https://zara-russia.ru/zhenshchiny_cardigans_sweaters_zara/tproduct/673932070732-zara-dzhemper-v-polosku-s-korotkim-rukav,4 400
ZARA ТРИКОТАЖНЫЙ ТОП С ВОРОТНИКОМ БОБО,https://zara-russia.ru/zara_404/tproduct/943211814572-zara-trikotazhnii-top-s-vorotnikom-bobo,4 400
ZARA СВИТЕР В ПОЛОСКУ,https://zara-russia.ru/zhenshchiny_cardigans_sweaters_zara/tproduct/822342709852-zara-sviter-v-polosku,5 400
ZARA ТОП ОБЛЕГАЮЩЕГО КРОЯ С КОНТРАСТНЫМИ ДЕТАЛЯМИ,https://zara-russia.ru/zhenshchiny_topy_body_zara/tproduct/438218740622-zara-top-oblegayuschego-kroya-s-kontrast,3 600
ZARA ТОП НА БРЕТЕЛЯХ В ПОЛОСКУ,https://zara-russia.ru/zhenshchiny_futbolki_zara/tproduct/685380085092-zara-top-na-bretelyah-v-polosku,3 600
ZARA КОРОТКАЯ СТЕГАНАЯ КУРТКА,https://zara-russia.ru/zhenshchiny-kurtki_zara/tproduct/137881419262-zara-korotkaya-steganaya-kurtka,6 800
ZARA МЯГКИЕ ЛОФЕРЫ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/186095597132-zara-myagkie-loferi,6 500
ZARA БРЮКИ BARREL В ЕЛОЧКУ,https://zara-russia.ru/zhenshchiny_bryuki_zara/tproduct/990163094492-zara-bryuki-barrel-v-elochku,6 800
ZARA КУРТКА-БАЛЛОН НА МОЛНИИ,https://zara-russia.ru/zhenshchiny-kurtki_zara/tproduct/939671993652-zara-kurtka-ballon-na-molnii,6 800
ZARA РАСКЛЕШЕННЫЕ БРЮКИ С ЗАКЛЕПКАМИ,https://zara-russia.ru/zara_404/tproduct/952434978252-zara-raskleshennie-bryuki-s-zaklepkami,5 400
ZARA ТОП БАНДО STRETCH С ЗАКЛЕПКАМИ,https://zara-russia.ru/zara_404/tproduct/678904046452-zara-top-bando-stretch-s-zaklepkami,4 100
ZARA КОРОТКОЕ ПЛАТЬЕ ИЗ ИНТЕРЛОКА,https://zara-russia.ru/zara_404/tproduct/591852894822-zara-korotkoe-plate-iz-interloka,4 100
ZARA БОДИ ХАЛТЕР С КОМБИНИРОВАННЫМ КРУЖЕВОМ,https://zara-russia.ru/zara_404/tproduct/855669847142-zara-bodi-halter-s-kombinirovannim-kruzh,4 400
ZARA ДЛИННОЕ ПЛАТЬЕ ИЗ ПОЛУПРОЗРАЧНОЙ ТКАНИ С БАРХАТИСТЫМИ ДЕТАЛЯМИ,https://zara-russia.ru/zara_404/tproduct/582703558872-zara-dlinnoe-plate-iz-poluprozrachnoi-tk,6 800
ZARA ПРИТАЛЕННАЯ РУБАШКА ИЗ ПОПЛИНА,https://zara-russia.ru/zara_404/tproduct/771693048412-zara-pritalennaya-rubashka-iz-poplina,5 400
ZARA БРЮКИ КАПРИ,https://zara-russia.ru/zara_404/tproduct/744914301272-zara-bryuki-kapri,5 400
ZARA ТОП ИЗ ПОПЛИНА С ВОЛАНОМ,https://zara-russia.ru/zhenshchiny_topy_body_zara/tproduct/567488466892-zara-top-iz-poplina-s-volanom,4 900
ZARA КОМБИНИРОВАННАЯ ФУТБОЛКА С КРУЖЕВОМ,https://zara-russia.ru/zara_404/tproduct/470193729152-zara-kombinirovannaya-futbolka-s-kruzhev,4 900
ZARA ЛОФЕРЫ ИЗ ДЖИНСОВОЙ ТКАНИ,https://zara-russia.ru/zara_404/tproduct/794934563662-zara-loferi-iz-dzhinsovoi-tkani,8 700
ZARA БОСОНОЖКИ НА ТАНКЕТКЕ,https://zara-russia.ru/zara_404/tproduct/376999628252-zara-bosonozhki-na-tanketke,6 300
