title,url,price
ZARA КОРОТКОЕ ПАЛЬТО-НАКИДКА С ПОЯСОМ ИЗ ШЕРСТИ,https://zara-russia.ru/zhenshchini_palto_zara/tproduct/450356683122-zara-korotkoe-palto-nakidka-s-poyasom-iz,13 500
ZARA СЕРЬГИ-КОЛЬЦА СО СТРАЗАМИ,https://zara-russia.ru/zhenshchiny-aksessuari_zara/tproduct/935136777362-zara-sergi-koltsa-so-strazami,2 700
ZARA ТУФЛИ НА ВЫСОКОМ КАБЛУКЕ С МЕТАЛЛИЧЕСКИМ БЛЕСКОМ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/610205028322-zara-tufli-na-visokom-kabluke-s-metallic,7 900
ZARA СЕРЬГИ-КОЛЬЦА СО СТРАЗАМИ,https://zara-russia.ru/zhenshchiny-aksessuari_zara/tproduct/571630946142-zara-sergi-koltsa-so-strazami,3 600
ZARA НАБОР ИЗ 2 КОЛЕЦ ДЛЯ МИЗИНЦА СО СТРАЗАМИ,https://zara-russia.ru/sale_2026/tproduct/259236717382-zara-nabor-iz-2-kolets-dlya-mizintsa-so,3 600
ZARA НАБОР ЭЛАСТИЧНЫХ БРАСЛЕТОВ С УКРАШЕНИЯМИ,https://zara-russia.ru/zhenshchiny-aksessuari_zara/tproduct/701626774712-zara-nabor-elastichnih-brasletov-s-ukras,3 600
ZARA ГАЛСТУК С ПОДВЕСКАМИ В ВИДЕ ЦВЕТОВ И БАБОЧЕК,https://zara-russia.ru/zhenshchiny-aksessuari_zara/tproduct/499970319592-zara-galstuk-s-podveskami-v-vide-tsvetov,6 800
ZARA ЖЕСТКИЙ БРАСЛЕТ С КОНТРАСТНЫМИ ПАЙЕТКАМИ,https://zara-russia.ru/zhenshchiny-aksessuari_zara/tproduct/661312007112-zara-zhestkii-braslet-s-kontrastnimi-pai,4 100
ZARA СЕРЬГИ-СЕТКА РОМБ,https://zara-russia.ru/zhenshchiny-aksessuari_zara/tproduct/564803399792-zara-sergi-setka-romb,2 700
ZARA СЕРЬГИ С ЦВЕТАМИ И СТРАЗАМИ,https://zara-russia.ru/zhenshchiny-aksessuari_zara/tproduct/982330345612-zara-sergi-s-tsvetami-i-strazami,3 600
ZARA БОДИ С КОМБИНИРОВАННЫМ ТЮЛЕМ,https://zara-russia.ru/zhenshchiny_topy_body_zara/tproduct/882483029222-zara-bodi-s-kombinirovannim-tyulem,3 600
ZARA УКОРОЧЕННЫЙ СВИТЕР С ОБЪЕМНЫМИ РУКАВАМИ,https://zara-russia.ru/zhenshchiny_cardigans_sweaters_zara/tproduct/841096732562-zara-ukorochennii-sviter-s-obemnimi-ruka,5 400
ZARA ТУФЛИ-МЮЛИ ИЗ СЕТЧАТОЙ ТКАНИ СО СТРАЗАМИ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/774012157792-zara-tufli-myuli-iz-setchatoi-tkani-so-s,9 800
ZARA ДЛИННЫЙ АТЛАСНЫЙ ТОП С БАХРОМОЙ,https://zara-russia.ru/zhenshchiny_topy_body_zara/tproduct/957335583992-zara-dlinnii-atlasnii-top-s-bahromoi,6 800
ZARA ОЖЕРЕЛЬЕ ИЗ СЕТКИ С ЖЕМЧУЖНЫМИ ШАРИКАМИ,https://zara-russia.ru/zhenshchiny-aksessuari_zara/tproduct/229659202392-zara-ozherele-iz-setki-s-zhemchuzhnimi-s,4 900
