title,url,price
ZARA КАРДИГАН С РУКАВАМИ-ГАРМОШКОЙ,https://zara-russia.ru/zhenshchiny_cardigans_sweaters_zara/tproduct/845072260382-zara-kardigan-s-rukavami-garmoshkoi,6 300
ZARA КОМБИНИРОВАННЫЙ ТРИКОТАЖНЫЙ ТОП,https://zara-russia.ru/zhenshchiny_kostyumi_zara/tproduct/731069856562-zara-kombinirovannii-trikotazhnii-top,6 800
ZARA БЛУЗА СВОБОДНОГО КРОЯ ИЗ КОМБИНИРОВАННОГО ТРИКОТАЖА,https://zara-russia.ru/zhenshchiny_cardigans_sweaters_zara/tproduct/953871621882-zara-bluza-svobodnogo-kroya-iz-kombiniro,5 400
ZARA КАРДИГАН С МЕТАЛЛИЗИРОВАННОЙ НИТЬЮ,https://zara-russia.ru/zhenshchiny_cardigans_sweaters_zara/tproduct/386741503712-zara-kardigan-s-metallizirovannoi-nityu,6 800
ZARA СВИТЕР В ПОЛОСКУ,https://zara-russia.ru/zhenshchiny_cardigans_sweaters_zara/tproduct/537059742802-zara-sviter-v-polosku,4 900
ZARA КАРДИГАН С КАПЮШОНОМ И ЗАВЯЗКАМИ,https://zara-russia.ru/zhenshchiny_cardigans_sweaters_zara/tproduct/961854675522-zara-kardigan-s-kapyushonom-i-zavyazkami,7 900
ZARA СВИТЕР С ОБЪЕМНЫМИ РУКАВАМИ,https://zara-russia.ru/zhenshchiny_cardigans_sweaters_zara/tproduct/853493232762-zara-sviter-s-obemnimi-rukavami,5 400
ZARA ДЖЕМПЕР В ПОЛОСКУ С КОРОТКИМ РУКАВОМ,https://zara-russia.ru/zhenshchiny_cardigans_sweaters_zara/tproduct/673932070732-zara-dzhemper-v-polosku-s-korotkim-rukav,4 400
ZARA СВИТЕР В ПОЛОСКУ,https://zara-russia.ru/zhenshchiny_cardigans_sweaters_zara/tproduct/822342709852-zara-sviter-v-polosku,5 400
ZARA СВИТЕР ИЗ СТРУЯЩЕГОСЯ ТРИКОТАЖА,https://zara-russia.ru/zhenshchiny_cardigans_sweaters_zara/tproduct/136682485212-zara-sviter-iz-struyaschegosya-trikotazh,5 400
ZARA ТОНКИЙ СВИТЕР,https://zara-russia.ru/zhenshchiny_cardigans_sweaters_zara/tproduct/973100177522-zara-tonkii-sviter,6 300
ZARA СВИТЕР ИЗ 100% ШЕРСТИ С КОРОТКИМИ РУКАВАМИ,https://zara-russia.ru/zhenshchiny_cardigans_sweaters_zara/tproduct/164533388422-zara-sviter-iz-100-shersti-s-korotkimi-r,6 800
ZARA ВЯЗАНЫЙ СВИТЕР С БАНТОМ И ЖАТЫМ ЭФФЕКТОМ,https://zara-russia.ru/zhenshchiny_kostyumi_zara/tproduct/749863357742-zara-vyazanii-sviter-s-bantom-i-zhatim-e,6 800
ZARA АСИММЕТРИЧНЫЙ СВИТЕР ИЗ КОМБИНИРОВАННОГО ТРИКОТАЖА,https://zara-russia.ru/zara_404/tproduct/320726470132-zara-asimmetrichnii-sviter-iz-kombinirov,7 900
