title,url,price
ZARA ФУТБОЛКА ИЗ ПЛОТНОГО ХЛОПКА С КОРОТКИМИ РУКАВАМИ,https://zara-russia.ru/zhenshchiny_futbolki_zara/tproduct/222126822042-zara-futbolka-iz-plotnogo-hlopka-s-korot,4 100
ZARA БРЮКИ WIDE-LEG ИЗ ПЛОТНОГО ХЛОПКА,https://zara-russia.ru/zhenshchiny_kostyumi_zara/tproduct/863674342602-zara-bryuki-wide-leg-iz-plotnogo-hlopka,4 900
ZARA ФАКТУРНЫЙ ТОП С ПРЯЖКОЙ,https://zara-russia.ru/zhenshchiny_kostyumi_zara/tproduct/186567612352-zara-fakturnii-top-s-pryazhkoi,4 900
ZARA ТОП НА БРЕТЕЛЯХ ИЗ ХЛОПКА И МОДАЛА,https://zara-russia.ru/zhenshchiny_kostyumi_zara/tproduct/280827364182-zara-top-na-bretelyah-iz-hlopka-i-modala,1 600
ZARA БРЮКИ ПРЯМОГО КРОЯ В РУБЧИК,https://zara-russia.ru/zhenshchiny_kostyumi_zara/tproduct/670529763852-zara-bryuki-pryamogo-kroya-v-rubchik,4 400
ZARA ПРЯМАЯ КОМБИНИРОВАННАЯ ТРИКОТАЖНАЯ ЮБКА,https://zara-russia.ru/zhenshchiny_yubki_zara/tproduct/867921636082-zara-pryamaya-kombinirovannaya-trikotazh,6 800
ZARA КОМБИНИРОВАННЫЙ ТРИКОТАЖНЫЙ ТОП,https://zara-russia.ru/zhenshchiny_kostyumi_zara/tproduct/731069856562-zara-kombinirovannii-trikotazhnii-top,6 800
ZARA БРЮКИ С ВЫСОКОЙ ПОСАДКОЙ В ПОЛОСКУ — ZW COLLECTION,https://zara-russia.ru/zhenshchiny_kostyumi_zara/tproduct/731834407492-zara-bryuki-s-visokoi-posadkoi-v-polosku,8 700
ZARA КОРОТКИЙ СТРУЯЩИЙСЯ ТРЕНЧ — ZW COLLECTION,https://zara-russia.ru/zhenshchiny_kostyumi_zara/tproduct/317687008312-zara-korotkii-struyaschiisya-trench-zw-c,13 500
ZARA БРЮКИ WIDE LEG ИЗ ТКАНИ В ДЕРЕВЕНСКОМ СТИЛЕ,https://zara-russia.ru/zhenshchiny_kostyumi_zara/tproduct/853127555602-zara-bryuki-wide-leg-iz-tkani-v-derevens,4 400
ZARA ТОП В СТИЛЕ РУСТИК С КОРОТКИМИ РУКАВАМИ,https://zara-russia.ru/zhenshchiny_kostyumi_zara/tproduct/340096295522-zara-top-v-stile-rustik-s-korotkimi-ruka,4 100
ZARA РАСКЛЕШЕННЫЕ БРЮКИ С ЗАКЛЕПКАМИ,https://zara-russia.ru/zhenshchiny_bryuki_zara/tproduct/952434978252-zara-raskleshennie-bryuki-s-zaklepkami,5 400
ZARA ТОП БАНДО STRETCH С ЗАКЛЕПКАМИ,https://zara-russia.ru/zhenshchiny_topy_body_zara/tproduct/678904046452-zara-top-bando-stretch-s-zaklepkami,4 100
