title,url,price
ZARA САНДАЛИИ НА ПЛОСКОЙ ПОДОШВЕ С ПРИНТОМ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/184313898452-zara-sandalii-na-ploskoi-podoshve-s-prin,3 800
ZARA САНДАЛИИ НА ПЛОСКОЙ ПОДОШВЕ С СЕТКОЙ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/141523218302-zara-sandalii-na-ploskoi-podoshve-s-setk,6 500
ZARA ОБЪЕМНОЕ ПЛАТЬЕ МИДИ,https://zara-russia.ru/zhenshchiny_platya_zara/tproduct/873392885322-zara-obemnoe-plate-midi,7 900
ZARA БРЮКИ-ПИЖАМА BALLOON,https://zara-russia.ru/zhenshchiny_bryuki_zara/tproduct/559814119262-zara-bryuki-pizhama-balloon,5 400
ZARA СВОБОДНОЕ ПЛАТЬЕ МИДИ,https://zara-russia.ru/zhenshchiny_platya_zara/tproduct/700549077092-zara-svobodnoe-plate-midi,7 900
ZARA СПОРТИВНЫЕ ТУФЛИ БЕЗ ЗАДНИКОВ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/412389525272-zara-sportivnie-tufli-bez-zadnikov,6 300
ZARA КАРДИГАН С РУКАВАМИ-ГАРМОШКОЙ,https://zara-russia.ru/zhenshchiny_cardigans_sweaters_zara/tproduct/845072260382-zara-kardigan-s-rukavami-garmoshkoi,6 300
ZARA СТРУЯЩАЯСЯ РУБАШКА С ВЫШИВКОЙ — ZW COLLECTION,https://zara-russia.ru/zhenshchiny_rubashki_bluzki_zara/tproduct/183883109362-zara-struyaschayasya-rubashka-s-vishivko,7 900
ZARA КОЖАНЫЕ МЮЛИ НА КАБЛУКЕ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/300184130902-zara-kozhanie-myuli-na-kabluke,6 500
ZARA УКОРОЧЕННЫЙ ТРЕНЧ WATER-REPELLENT — ZW COLLECTION,https://zara-russia.ru/zhenshchini_palto_zara/tproduct/546781493702-zara-ukorochennii-trench-water-repellent,13 500
ZARA РУБАШКА С ВОЛАНАМИ ZW COLLECTION,https://zara-russia.ru/zhenshchiny_rubashki_bluzki_zara/tproduct/808278550442-zara-rubashka-s-volanami-zw-collection,10 800
ZARA ФУТБОЛКА С БАНТОМ СПЕРЕДИ,https://zara-russia.ru/zhenshchiny_futbolki_zara/tproduct/131364307472-zara-futbolka-s-bantom-speredi,4 100
ZARA ФУТБОЛКА С ЦВЕТОЧНОЙ ВЫШИВКОЙ,https://zara-russia.ru/zhenshchiny_futbolki_zara/tproduct/250451166802-zara-futbolka-s-tsvetochnoi-vishivkoi,4 100
ZARA ТОЛСТОВКА С ВЫШИВКОЙ ЦВЕТОВ,https://zara-russia.ru/zhenshchiny_tolstovki_zara/tproduct/673942776642-zara-tolstovka-s-vishivkoi-tsvetov,6 300
ZARA ДЖИНСЫ TRF BAGGY FOLDED СО СРЕДНЕЙ ПОСАДКОЙ,https://zara-russia.ru/zhenshchiny_dzhinsy_zara/tproduct/763956222302-zara-dzhinsi-trf-baggy-folded-so-srednei,7 900
ZARA КУРТКА «ГУСИНАЯ ЛАПКА» С ОТДЕЛКОЙ ПОД КОЖУ,https://zara-russia.ru/zhenshchiny-kurtki_zara/tproduct/777832296652-zara-kurtka-gusinaya-lapka-s-otdelkoi-po,10 800
ZARA ЮБКА МИДИ В КЛЕТКУ ВИШИ С КРУЖЕВОМ,https://zara-russia.ru/zhenshchiny_yubki_zara/tproduct/156258938042-zara-yubka-midi-v-kletku-vishi-s-kruzhev,7 900
ZARA РУБАШКА С БОЛЬШИМ ОТЛОЖНЫМ ВОРОТНИКОМ,https://zara-russia.ru/zhenshchiny_rubashki_bluzki_zara/tproduct/672608145792-zara-rubashka-s-bolshim-otlozhnim-vorotn,5 400
ZARA ДВУБОРТНЫЙ БЛЕЙЗЕР ОВЕРСАЙЗ В КЛЕТКУ ВИШИ,https://zara-russia.ru/zhenshchiny_blejzery_zara/tproduct/158045480272-zara-dvubortnii-bleizer-oversaiz-v-kletk,10 800
ZARA ТОП ОБЪЕМНОГО КРОЯ ИЗ ИМИТАЦИИ ЗАМШИ,https://zara-russia.ru/zhenshchiny_topy_body_zara/tproduct/799913456252-zara-top-obemnogo-kroya-iz-imitatsii-zam,5 400
ZARA ЗАМШЕВЫЕ БАЛЕТКИ С БАНТИКОМ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/297555720542-zara-zamshevie-baletki-s-bantikom,8 100
ZARA РУБАШКА С ЦВЕТОЧНЫМ ПРИНТОМ И КРУГЛЫМ ВОРОТНИКОМ,https://zara-russia.ru/zhenshchiny_rubashki_bluzki_zara/tproduct/114844177492-zara-rubashka-s-tsvetochnim-printom-i-kr,5 400
ZARA ПАЛЬТО ИЗ ИСКУССТВЕННОЙ ЗАМШИ,https://zara-russia.ru/zhenshchini_palto_zara/tproduct/711545791432-zara-palto-iz-iskusstvennoi-zamshi,10 800
ZARA РУБАШКА В ПОЛОСКУ С БАНТОМ,https://zara-russia.ru/zhenshchiny_rubashki_bluzki_zara/tproduct/733983223392-zara-rubashka-v-polosku-s-bantom,6 800
