title,url,price
ZARA АТЛАСНЫЕ САПОГИ ДО КОЛЕНА,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/197757927672-zara-atlasnie-sapogi-do-kolena,10 800
ZARA САНДАЛИИ НА ПЛОСКОЙ ПОДОШВЕ С ПРИНТОМ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/184313898452-zara-sandalii-na-ploskoi-podoshve-s-prin,3 800
ZARA САНДАЛИИ НА ПЛОСКОЙ ПОДОШВЕ С СЕТКОЙ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/141523218302-zara-sandalii-na-ploskoi-podoshve-s-setk,6 500
ZARA СПОРТИВНЫЕ ТУФЛИ БЕЗ ЗАДНИКОВ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/412389525272-zara-sportivnie-tufli-bez-zadnikov,6 300
ZARA КОЖАНЫЕ МЮЛИ НА КАБЛУКЕ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/300184130902-zara-kozhanie-myuli-na-kabluke,6 500
ZARA ЗАМШЕВЫЕ БАЛЕТКИ С БАНТИКОМ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/297555720542-zara-zamshevie-baletki-s-bantikom,8 100
ZARA ЗАМШЕВЫЕ САБО С ЗАКЛЕПКАМИ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/684377856962-zara-zamshevie-sabo-s-zaklepkami,12 500
ZARA КРОССОВКИ ИЗ ТКАНИ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/178105909662-zara-krossovki-iz-tkani,7 100
ZARA САНДАЛИИ НА АСИММЕТРИЧНОМ КАБЛУКЕ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/278897604712-zara-sandalii-na-asimmetrichnom-kabluke,8 700
ZARA КОЖАНЫЕ МЮЛИ С КВАДРАТНЫМ НОСОМ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/852677487182-zara-kozhanie-myuli-s-kvadratnim-nosom,13 500
ZARA КОМБИНИРОВАННЫЕ КОЖАНЫЕ КРОССОВКИ BAREFOOT,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/668178414182-zara-kombinirovannie-kozhanie-krossovki,10 300
ZARA КРОССОВКИ BAREFOOT ИЗ КОМБИНИРОВАННЫХ МАТЕРИАЛОВ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/365283532302-zara-krossovki-barefoot-iz-kombinirovann,7 100
ZARA КРОССОВКИ BAREFOOT ИЗ РАЗНЫХ МАТЕРИАЛОВ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/401286032792-zara-krossovki-barefoot-iz-raznih-materi,7 100
ZARA ТУФЛИ-МЮЛИ НА КАБЛУКЕ С БАНТОМ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/269139872362-zara-tufli-myuli-na-kabluke-s-bantom,6 500
ZARA МЯГКИЕ КОЖАНЫЕ БАЛЕТКИ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/617922653372-zara-myagkie-kozhanie-baletki,8 700
ZARA САНДАЛИИ ИЗ ТКАНИ С БЛЕСТКАМИ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/180236771152-zara-sandalii-iz-tkani-s-blestkami,10 300
ZARA ЗАМШЕВЫЕ ЛОФЕРЫ С БАХРОМОЙ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/912015699252-zara-zamshevie-loferi-s-bahromoi,10 800
ZARA САПОГИ ИЗ ИСКУССТВЕННОГО МЕХА НА КАБЛУКЕ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/667055211292-zara-sapogi-iz-iskusstvennogo-meha-na-ka,17 600
ZARA КОЖАНЫЕ МЮЛИ LIMITED EDITION,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/620791192722-zara-kozhanie-myuli-limited-edition,14 400
ZARA КРОССОВКИ НА ПЛАТФОРМЕ С РИФЛЕНОЙ ПОДОШВОЙ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/163247242072-zara-krossovki-na-platforme-s-riflenoi-p,6 300
ZARA МЮЛИ ИЗ ЗАМШИ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/686860331452-zara-myuli-iz-zamshi,8 700
ZARA КОЖАНЫЕ БАЛЕТКИ-МЮЛИ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/567004315562-zara-kozhanie-baletki-myuli,7 600
ZARA БОСОНОЖКИ С УЗЛОМ И МЕТАЛЛИЧЕСКИМ БЛЕСКОМ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/287024628372-zara-bosonozhki-s-uzlom-i-metallicheskim,7 600
ZARA КОЖАНЫЕ БАЛЕТКИ-МЮЛИ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/751450158042-zara-kozhanie-baletki-myuli,7 900
ZARA КОЖАНЫЕ ТУФЛИ-ДЕРБИ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/795175981202-zara-kozhanie-tufli-derbi,10 800
ZARA МЯГКИЕ ЛОФЕРЫ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/186095597132-zara-myagkie-loferi,6 500
ZARA ЛОФЕРЫ ИЗ ДЖИНСОВОЙ ТКАНИ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/794934563662-zara-loferi-iz-dzhinsovoi-tkani,8 700
ZARA БОСОНОЖКИ НА ТАНКЕТКЕ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/376999628252-zara-bosonozhki-na-tanketke,6 300
ZARA БОСОНОЖКИ НА НИЗКОМ КАБЛУКЕ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/230425747572-zara-bosonozhki-na-nizkom-kabluke,6 300
ZARA КОЖАНЫЕ БОСОНОЖКИ МЮЛИ - LIMITED EDITION,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/515651456512-zara-kozhanie-bosonozhki-myuli-limited-e,18 900
ZARA КОЖАНЫЕ САНДАЛИИ С РЕМЕШКАМИ - LIMITED EDITION,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/755865079782-zara-kozhanie-sandalii-s-remeshkami-limi,16 200
ZARA КОЖАНЫЕ БОСОНОЖКИ МЮЛИ LIMITED EDITION,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/733227208892-zara-kozhanie-bosonozhki-myuli-limited-e,21 600
ZARA САНДАЛИИ С ПРЯЖКОЙ НА ПЛОСКОЙ ПОДОШВЕ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/464335916042-zara-sandalii-s-pryazhkoi-na-ploskoi-pod,6 000
ZARA ЛИМИТИРОВАННЫЕ КОЖАНЫЕ БАЛЕТКИ С БАНТОМ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/235534286442-zara-limitirovannie-kozhanie-baletki-s-b,14 400
ZARA КОЖАНЫЕ МЮЛИ НА КАБЛУКЕ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/660925688482-zara-kozhanie-myuli-na-kabluke,7 900
ZARA КОЖАНЫЕ ТУФЛИ НА ПЛАТФОРМЕ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/724643922002-zara-kozhanie-tufli-na-platforme,14 400
ZARA КОЖАНЫЕ САБО БЕЗ ЗАДНИКОВ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/919084640202-zara-kozhanie-sabo-bez-zadnikov,10 800
ZARA КОЖАНЫЕ ЛОФЕРЫ НА ПЛАТФОРМЕ,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/607050581762-zara-kozhanie-loferi-na-platforme,13 500
ZARA УТЕПЛЕННЫЕ БОТИНКИ ИЗ КОЛЛЕКЦИИ SKI,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/723607300722-zara-uteplennie-botinki-iz-kollektsii-sk,13 800
ZARA КОЖАНЫЕ БОТИЛЬОНЫ С КВАДРАТНЫМ НОСОМ LIMITED EDITION,https://zara-russia.ru/zhenshchiny_obuv_zara/tproduct/424009725822-zara-kozhanie-botiloni-s-kvadratnim-noso,23 300
