title,url,price
ZARA БЛУЗА В ПОЛОСКУ С ЗАВЯЗКАМИ,https://zara-russia.ru/zhenshchiny_rubashki_bluzki_zara/tproduct/721833851552-zara-bluza-v-polosku-s-zavyazkami,5 400
ZARA ДЖИНСОВАЯ РУБАШКА ZW COLLECTION,https://zara-russia.ru/zhenshchiny_rubashki_bluzki_zara/tproduct/185530414032-zara-dzhinsovaya-rubashka-zw-collection,8 700
ZARA УКОРОЧЕННАЯ РУБАШКА С КРУЖЕВОМ,https://zara-russia.ru/zhenshchiny_rubashki_bluzki_zara/tproduct/511473413102-zara-ukorochennaya-rubashka-s-kruzhevom,5 400
ZARA СТРУЯЩАЯСЯ РУБАШКА С ВЫШИВКОЙ — ZW COLLECTION,https://zara-russia.ru/zhenshchiny_rubashki_bluzki_zara/tproduct/183883109362-zara-struyaschayasya-rubashka-s-vishivko,7 900
ZARA РУБАШКА С ВОЛАНАМИ ZW COLLECTION,https://zara-russia.ru/zhenshchiny_rubashki_bluzki_zara/tproduct/808278550442-zara-rubashka-s-volanami-zw-collection,10 800
ZARA РУБАШКА С БОЛЬШИМ ОТЛОЖНЫМ ВОРОТНИКОМ,https://zara-russia.ru/zhenshchiny_rubashki_bluzki_zara/tproduct/672608145792-zara-rubashka-s-bolshim-otlozhnim-vorotn,5 400
ZARA РУБАШКА С ЦВЕТОЧНЫМ ПРИНТОМ И КРУГЛЫМ ВОРОТНИКОМ,https://zara-russia.ru/zhenshchiny_rubashki_bluzki_zara/tproduct/114844177492-zara-rubashka-s-tsvetochnim-printom-i-kr,5 400
ZARA РУБАШКА В ПОЛОСКУ С БАНТОМ,https://zara-russia.ru/zhenshchiny_rubashki_bluzki_zara/tproduct/733983223392-zara-rubashka-v-polosku-s-bantom,6 800
ZARA РУБАШКА С КРУГЛЫМ ВОРОТНИКОМ И СБОРКАМИ,https://zara-russia.ru/zhenshchiny_rubashki_bluzki_zara/tproduct/670235134952-zara-rubashka-s-kruglim-vorotnikom-i-sbo,5 400
ZARA РУБАШКА ИЗ ПОПЛИНА В ПОЛОСКУ,https://zara-russia.ru/zhenshchiny_rubashki_bluzki_zara/tproduct/890597485152-zara-rubashka-iz-poplina-v-polosku,4 900
