title,url,price
ZARA ТОЛСТОВКА С ВЫШИВКОЙ ЦВЕТОВ,https://zara-russia.ru/zhenshchiny_tolstovki_zara/tproduct/673942776642-zara-tolstovka-s-vishivkoi-tsvetov,6 300
ZARA ОБЪЕМНАЯ УКОРОЧЕННАЯ ТОЛСТОВКА,https://zara-russia.ru/zhenshchiny_tolstovki_zara/tproduct/511128152612-zara-obemnaya-ukorochennaya-tolstovka,4 900
ZARA ХУДИ С КАПЮШОНОМ И ШЕРСТЬЮ,https://zara-russia.ru/zhenshchiny_tolstovki_zara/tproduct/408468162062-zara-hudi-s-kapyushonom-i-sherstyu,7 900
ZARA МЯГКАЯ ТОЛСТОВКА,https://zara-russia.ru/zhenshchiny_tolstovki_zara/tproduct/226799340312-zara-myagkaya-tolstovka,7 900
ZARA АСИММЕТРИЧНАЯ ХЛОПКОВАЯ ТОЛСТОВКА,https://zara-russia.ru/zhenshchiny_tolstovki_zara/tproduct/489639221102-zara-asimmetrichnaya-hlopkovaya-tolstovk,5 400
ZARA ТОЛСТОВКА AC/DC ®,https://zara-russia.ru/zhenshchiny_tolstovki_zara/tproduct/933973458892-zara-tolstovka-acdc-,6 800
ZARA ТОЛСТОВКА С РЕЛЬЕФНЫМИ БАНТАМИ,https://zara-russia.ru/zhenshchiny_tolstovki_zara/tproduct/438985498912-zara-tolstovka-s-relefnimi-bantami,5 400
ZARA ХУДИ НА ШНУРКАХ,https://zara-russia.ru/zhenshchiny_tolstovki_zara/tproduct/783546821142-zara-hudi-na-shnurkah,8 700
ZARA ТОЛСТОВКА С ТЕКСТОМ ИЗ ФОЛЬГИ,https://zara-russia.ru/zhenshchiny_tolstovki_zara/tproduct/677447915562-zara-tolstovka-s-tekstom-iz-folgi,5 400
ZARA УКОРОЧЕННОЕ ХУДИ,https://zara-russia.ru/zhenshchiny_tolstovki_zara/tproduct/394446756242-zara-ukorochennoe-hudi,5 400
ZARA ТОЛСТОВКА С КАПЮШОНОМ ИЗ НЕОПРЕНОВОЙ ТКАНИ,https://zara-russia.ru/zhenshchiny_tolstovki_zara/tproduct/691857474782-zara-tolstovka-s-kapyushonom-iz-neopreno,7 900
