title,url,price
ZARA ВЫСОКИЕ ТРУСЫ POINTELLE,https://zara-russia.ru/zhenskie_nizhnee_belie_zara/tproduct/657967304372-zara-visokie-trusi-pointelle,4 400
ZARA БЮСТГАЛЬТЕР С КОСТОЧКАМИ И КРУЖЕВНЫМ УЗОРОМ POINTELLE,https://zara-russia.ru/zhenskie_nizhnee_belie_zara/tproduct/913644226972-zara-byustgalter-s-kostochkami-i-kruzhev,5 400
ZARA БРЮКИ КАПРИ С КРУЖЕВОМ,https://zara-russia.ru/zhenskie_nizhnee_belie_zara/tproduct/804543195572-zara-bryuki-kapri-s-kruzhevom,6 800
"ZARA ТОП С БРЕТЕЛЯМИ, КРУЖЕВОМ И ЗАВЯЗКАМИ",https://zara-russia.ru/zhenskie_nizhnee_belie_zara/tproduct/930454505582-zara-top-s-bretelyami-kruzhevom-i-zavyaz,6 800
ZARA БРЮКИ ИЗ 100% ВИСКОЗЫ С ВЫШИВКОЙ,https://zara-russia.ru/zhenskie_nizhnee_belie_zara/tproduct/764760263562-zara-bryuki-iz-100-viskozi-s-vishivkoi,10 800
ZARA ТОП НА БРЕТЕЛЯХ ИЗ 100% ВИСКОЗЫ С ВЫШИВКОЙ,https://zara-russia.ru/zhenskie_nizhnee_belie_zara/tproduct/272252304402-zara-top-na-bretelyah-iz-100-viskozi-s-v,10 800
ZARA КРУЖЕВНОЙ БЮСТГАЛЬТЕР С ТРЕУГОЛЬНЫМИ ЧАШКАМИ,https://zara-russia.ru/zhenskie_nizhnee_belie_zara/tproduct/997918970662-zara-kruzhevnoi-byustgalter-s-treugolnim,4 900
ZARA КРУЖЕВНЫЕ ТРУСЫ-ТАНГА,https://zara-russia.ru/zhenskie_nizhnee_belie_zara/tproduct/111706615812-zara-kruzhevnie-trusi-tanga,4 100
ZARA БЕСШОВНОЕ БОДИ С КРУЖЕВОМ,https://zara-russia.ru/zhenskie_nizhnee_belie_zara/tproduct/437024332592-zara-besshovnoe-bodi-s-kruzhevom,4 400
ZARA ЛЕГИНСЫ-КОЛГОТКИ ИЗ ПОЛИАМИДА,https://zara-russia.ru/zhenskie_nizhnee_belie_zara/tproduct/717274265192-zara-leginsi-kolgotki-iz-poliamida,4 400
ZARA БЮСТГАЛЬТЕР ИЗ 100% КОЖИ С КРУЖЕВОМ,https://zara-russia.ru/zhenskie_nizhnee_belie_zara/tproduct/137627381572-zara-byustgalter-iz-100-kozhi-s-kruzhevo,10 800
ZARA АТЛАСНЫЕ ТРУСЫ,https://zara-russia.ru/zhenskie_nizhnee_belie_zara/tproduct/432152575672-zara-atlasnie-trusi,4 400
ZARA КОМБИНИРОВАННЫЙ БРАЛЕТТ ИЗ АТЛАСА И КРУЖЕВА,https://zara-russia.ru/zhenskie_nizhnee_belie_zara/tproduct/600820126222-zara-kombinirovannii-bralett-iz-atlasa-i,7 900
